question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision
What is the return window for defective products?,The return window for products that arrive defective is 30 calendar days from the date of receipt [source 1: return_policy_2].,"['Standard Return Window Customers may return any product within **7 calendar days** of receipt, provided the product is unused, in its original packaging, and accompanied by the original invoice (nota fiscal). This is the standard cooling-off period (direito de arrependimento) guaranteed by Article 49 of the CDC for purchases made outside a physical establishment. For products that arrive damaged, defective, or not as described in the listing, the return window is extended to **30 calendar days** from the date of receipt. Customers must report the issue within this period to be eligible for a full refund or replacement.'
 ""Non-Returnable Items The following categories are not eligible for return unless the product is defective or not as described: - Perishable goods and food products - Digital products and software licenses (once downloaded or activated) - Personal hygiene and intimate apparel items that have been opened - Custom or personalized products made to the buyer's specifications - Hazardous materials or items whose return is restricted by law""
 'Return Process To initiate a return: 1. Open a dispute through the Olist order management portal within the applicable return window 2. Select the reason for the return (changed mind, defective, wrong item, etc.) 3. Wait for seller approval, which must be granted within 3 business days 4. Once approved, ship the product using the provided return label 5. Keep the tracking code for your records Sellers who fail to respond to return requests within 3 business days will have the return automatically approved by the platform.'
 ""Seller Responsibilities Sellers are obligated to: - Accept all valid return requests within the platform's defined windows - Cover return shipping costs for defective or incorrectly described products - Inspect returned goods within 5 business days of receipt - Notify the platform immediately upon receipt and inspection - Issue refunds promptly upon confirmation of the valid return Sellers who repeatedly reject valid returns or delay the refund process are subject to performance penalties, including suspension from the platform.""]",What is the return window for defective products: 30 calendar days.,1.0,,0.9999999999
How long does standard delivery take to remote areas?,"Standard delivery to interior municipalities and remote areas typically takes 8 to 15 business days [source 1#shipping_policy_2]. For northern and remote states (Amazonas, Roraima, Amapá, and Acre), the estimated timeframe is 10 to 20 business days [source 1#shipping_policy_2]. Please note that during peak periods, these timeframes may extend by an additional 3 to 5 business days [source 2#shipping_policy_9].","[""Standard Delivery Timeframes Delivery times vary based on the customer's location, the seller's location, product size and weight, and selected shipping method. The following are estimated ranges under normal operating conditions: **Standard Shipping (Frete Padrão)** - Capital cities (São Paulo, Rio de Janeiro, Belo Horizonte, Brasília): 3 to 7 business days - State capitals and major regional cities: 5 to 10 business days - Interior municipalities and remote areas: 8 to 15 business days - Northern and remote states (Amazonas, Roraima, Amapá, Acre): 10 to 20 business days **Express Shipping (Frete Expresso)** Express delivery is available for orders in major metropolitan areas: - São Paulo metropolitan area: 1 to 2 business days - Rio de Janeiro metropolitan area: 1 to 3 business days - Other major capitals: 2 to 5 business days Express shipping carries a surcharge that varies by product weight and destination and is displayed at checkout before purchase confirmation.""
 'Shipping During Peak Periods During high-demand periods (Black Friday, Christmas, and Carnival season), delivery timeframes may extend by 3 to 5 additional business days beyond the standard estimates. Sellers are expected to update their available stock and processing capacity during these periods. Customers are encouraged to place orders well in advance of gift-giving dates.'
 ""Delivery Attempt Policy Carriers make up to **3 delivery attempts** at the address provided at checkout. Between attempts: - A delivery notification (aviso de entrega) is left at the address - The package is held at the nearest carrier branch for up to 7 calendar days - If uncollected after 7 days, the package is returned to the seller If the delivery fails due to an incorrect address provided by the customer, re-delivery shipping costs are the customer's responsibility. If the failure is due to carrier error, re-delivery is arranged at no additional cost.""
 'Overview This document describes the shipping and delivery standards that apply to all orders placed through the Olist marketplace. Both sellers and customers are expected to understand these terms. Shipping timelines, carrier responsibilities, and tracking procedures are governed by the agreements between Olist, its seller network, and contracted logistics partners.']",How long does standard delivery take to remote areas: 8 to 15 business days.,,,0.9999999999
What payment methods does Olist accept?,"Olist accepts the following payment methods:

*   **Credit Card**: Visa, Mastercard, American Express, Elo, and Hipercard [source 1#customer_faq_3].
*   **Boleto Bancário**: A bank slip that must be paid within 2 business days [source 1#customer_faq_3].
*   **Debit Card**: Visa Electron and Maestro [source 1#customer_faq_3].
*   **PIX**: Instant payment via Brazil's real-time payment system [source 1#customer_faq_3].
*   **Vouchers and Promotional Credits**: Platform vouchers issued by Olist can be applied at checkout [source 1#customer_faq_3].","[""About Payments **What payment methods does Olist accept?** Olist accepts the following payment methods: - **Credit Card (Cartão de Crédito)**: Visa, Mastercard, American Express, Elo, Hipercard. Purchases can be split into up to 12 interest-free installments depending on the seller's settings. - **Boleto Bancário**: A bank slip (boleto) is generated at checkout and must be paid within 2 business days. Order processing begins only after payment confirmation, which may take up to 1 business day. - **Debit Card (Cartão de Débito)**: Visa Electron and Maestro debit cards are accepted. Payment is processed in real time. - **PIX**: Instant payment via Brazil's real-time payment system. Orders are confirmed immediately upon PIX payment. - **Vouchers and Promotional Credits**: Platform vouchers issued by Olist can be applied at checkout. Multiple vouchers can be combined, but only one promotional code per order. **What is the maximum number of installments available?** Credit card purchases can be split into up to 12 installments. The installment options available depend on the individual seller's configuration and the total order value. Orders below R$50 typically cannot be split into more than 3 installments.""
 'promotional code per order. **What is the maximum number of installments available?** Credit card purchases can be split into up to 12 installments. The installment options available depend on the individual seller\'s configuration and the total order value. Orders below R$50 typically cannot be split into more than 3 installments. **Is it safe to pay on Olist?** Yes. All payment processing on Olist uses SSL encryption and complies with PCI DSS (Payment Card Industry Data Security Standard). Card details are never stored on Olist\'s servers; they are processed directly by our payment partners. **I was charged but my order was not confirmed. What should I do?** If your card was charged but you received no order confirmation, first check your spam folder for the confirmation email. If no email is found, check your Olist account under ""My Orders."" If no order appears, the charge was likely an authorization hold that will be released within 3 to 5 business days. Contact your bank or Olist support if the charge persists beyond 5 business days.'
 'Payouts and Fees Olist charges a commission on each completed sale, which varies by product category (typically between 8% and 16%). Payouts to sellers are released according to the following schedule: - Orders with status ""delivered"" and no active disputes: payment released 14 days after confirmed delivery - Orders where the customer confirms receipt manually: payment released immediately after confirmation - Orders with active return or refund disputes: payment held until resolution Sellers can view their pending and released payments in the Seller Portal dashboard.'
 'Olist Platform — Return & Refund Policy']","What payment methods does Olist accept: credit card, boleto, debit card, PIX, vouchers.",1.0,,
What review score must sellers maintain to stay active on the platform?,"To stay active on the platform, sellers must maintain an Average Review Score (ARS) of 3.5 or above [source#3-chunk-3]. 

If a seller's score falls below 3.5 for 60 consecutive days, or drops below 3.0, they reach the suspension threshold [source#3-chunk-3]. Once a seller falls below the minimum acceptable threshold, they undergo a performance review process that can lead to temporary suspension after 45 days and permanent removal after 75 days if no recovery is made [source#4-chunk-4].","['About Reviews **How does the review system work?** After your order is delivered, you will receive an invitation to rate your experience. Reviews consist of a score from 1 to 5 stars and an optional written comment. Reviews are published publicly on the product page and contribute to the seller\'s average performance score. You can submit only one review per order. **Can I edit or delete my review?** Reviews can be edited within 48 hours of submission. After that, they become permanent. Olist does not delete reviews unless they violate community guidelines (e.g., contain personal information, offensive language, or are demonstrably fraudulent). **What should I do if a seller pressures me to change my review?** Any seller who contacts you asking you to modify or remove a negative review in exchange for a refund, discount, or gift is violating Olist\'s seller code of conduct. You should report this behavior through the order page using the ""Report Issue"" button. Olist takes review manipulation seriously and may suspend or remove sellers found engaging in this practice.'
 'Conduct Standards **Product Listings** Sellers must provide accurate and complete product descriptions. The following are strictly prohibited: - Misleading claims about product quality, origin, or specifications - Counterfeit or grey-market goods - Products in prohibited categories (as defined in the Olist Prohibited Items Policy) - Duplicate listings of the same product to artificially inflate search ranking - Keyword stuffing in product titles or descriptions **Customer Interactions** Sellers must maintain professional and respectful communication with customers at all times. The following will result in immediate account review: - Threatening or abusive language in any customer communication - Attempts to conduct transactions outside the platform to avoid fees - Soliciting customers to remove or change negative reviews - Offering discounts or gifts in exchange for positive review scores **Pricing** Sellers may not engage in price manipulation, including: - Artificially inflating prices before promotional periods to exaggerate discounts - Price gouging during high-demand or emergency situations - Coordinating pricing with other sellers in a manner that constitutes anti-competitive behavior'
 'Performance Metrics Olist evaluates seller performance using four primary metrics, reviewed on a rolling 90-day basis: **1. Average Review Score (ARS)** The weighted average of all customer review scores received in the past 90 days. Each review is scored from 1 to 5. Scores from the most recent 30 days carry double weight in the calculation. - Target: 4.0 or above - Minimum acceptable: 3.5 - Warning threshold: below 3.5 for 30 consecutive days - Suspension threshold: below 3.0 or below 3.5 for 60 consecutive days **2. On-Time Dispatch Rate (OTDR)** The percentage of orders dispatched within the required 3-business-day window. - Target: 95% or above - Minimum acceptable: 90% - Warning threshold: below 90% in any 30-day window - Suspension threshold: below 80% for two consecutive 30-day windows **3. Order Cancellation Rate (OCR)** The percentage of seller-initiated order cancellations. Customer-initiated cancellations (before dispatch) do not count against this metric. - Target: below 2% - Maximum acceptable: below 5% - Warning threshold: 5% to 10% - Suspension threshold: above 10% in any 30-day window **4. Customer Message Response Time (CMRT)** The average time to first response to customer messages, measured in hours.'
 ""Performance Review Process Performance is evaluated continuously. When a seller falls below the minimum acceptable threshold for any metric: 1. **Day 1**: Automated warning notification sent to seller's registered email and dashboard 2. **Day 15**: If no improvement, secondary warning with a required remediation plan submission 3. **Day 30**: Account review by Olist's Seller Success team 4. **Day 45**: If metric remains below threshold, temporary suspension with a 30-day improvement window 5. **Day 75**: If no recovery, permanent removal from the platform Sellers in suspension cannot receive new orders but must continue to fulfill all orders placed before the suspension date.""]",What review score must sellers maintain to stay active on the platform: 3.5 minimum.,0.8333333333333334,,0.3333333333
Can I cancel an order after it has already been shipped?,"No, once an order has been dispatched, cancellation is no longer possible [source 1#customer_faq_2, source 2#customer_faq_1]. However, you may initiate a return after you have received the product [source 1#customer_faq_2, source 2#customer_faq_1].","['is no longer possible, but you may initiate a return after receiving the product. To cancel, go to your order page and select ""Cancel Order."" If the seller has already dispatched the item, the cancel button will be unavailable and you will see the option to request a return instead. **My order shows as delivered but I haven\'t received it. What should I do?** If your order is marked delivered but you have not received it, first check with neighbors or building staff, as carriers sometimes leave packages at nearby locations. If the package cannot be located within 24 hours, contact Olist support through the order page. Do not wait more than 48 hours after the delivery notification, as this may affect your claim eligibility. **How do I track my order?** Once your order is dispatched, you will receive a tracking code by email. You can track your order through the Olist app, the website order portal under ""My Orders,"" or directly on the carrier\'s tracking website. Allow up to 1 business day after dispatch for the tracking information to update in the carrier\'s system.'
 'About Orders **How do I place an order on Olist?** Browse products using the search bar or category navigation. Add items to your cart, proceed to checkout, enter your delivery address, select a shipping method, choose your payment method, and confirm the order. You will receive an email confirmation with your order number immediately after checkout. **Can I modify my order after placing it?** Order modifications (changing items, quantities, or addresses) are only possible before the seller confirms and begins processing the order. Once the order status changes to ""processing"" or ""dispatched,"" modifications are no longer possible. If you need to change your delivery address after dispatch, contact the carrier directly with your tracking code. **Can I cancel my order?** You may cancel an order at any time before the seller dispatches it. Once dispatched, cancellation is no longer possible, but you may initiate a return after receiving the product. To cancel, go to your order page and select ""Cancel Order."" If the seller has already dispatched the item, the cancel button will be unavailable and you will see the option to request a return instead.'
 ""Seller Dispatch Requirements Sellers are required to dispatch orders within **3 business days** of order approval and payment confirmation. This dispatch deadline is strictly enforced by the platform: - Day 0: Order approved and payment confirmed - Day 1-3: Seller must pack and hand off to carrier - Day 3 end-of-day: Final deadline for dispatch If a seller fails to dispatch within 3 business days without prior notification to the customer, the customer has the right to cancel the order for a full refund. Repeated dispatch delays negatively affect the seller's performance score and may result in penalties.""
 'promotional code per order. **What is the maximum number of installments available?** Credit card purchases can be split into up to 12 installments. The installment options available depend on the individual seller\'s configuration and the total order value. Orders below R$50 typically cannot be split into more than 3 installments. **Is it safe to pay on Olist?** Yes. All payment processing on Olist uses SSL encryption and complies with PCI DSS (Payment Card Industry Data Security Standard). Card details are never stored on Olist\'s servers; they are processed directly by our payment partners. **I was charged but my order was not confirmed. What should I do?** If your card was charged but you received no order confirmation, first check your spam folder for the confirmation email. If no email is found, check your Olist account under ""My Orders."" If no order appears, the charge was likely an authorization hold that will be released within 3 to 5 business days. Contact your bank or Olist support if the charge persists beyond 5 business days.']","Can I cancel an order after it has already been shipped: No — once dispatched, cancellation is not possible.",,,
What are the conditions for returning a purchased item?,"To return a purchased item on Olist, you must follow these conditions:

*   **Initiation:** You must open a dispute through the Olist order management portal within the applicable return window [source 2#return_policy_5].
*   **Reasoning:** You must select a reason for the return (e.g., changed mind, defective, or wrong item) [source 2#return_policy_5].
*   **Approval:** You must wait for seller approval, which must be granted within 3 business days. If the seller fails to respond within this timeframe, the return is automatically approved by the platform [source 2#return_policy_5].
*   **Shipping:** Once approved, you must ship the product using the provided return label and keep the tracking code for your records [source 2#return_policy_5].
*   **Specific Scenarios:**
    *   If you received the wrong product or one not as described, you must report the issue within 7 calendar days of receipt [source 1#customer_faq_5].
    *   If the returned product shows signs of use beyond inspection, a depreciation fee of up to 20% may apply [source 4#return_policy_7].
    *   Partial refunds may be issued if only part of a multi-item order is returned or if the return is initiated after the standard window but within the extended defect window [source 4#return_policy_7].

The provided context does not specify the exact duration of the ""standard window"" for returns, other than the 7-day reporting requirement for wrong or misdescribed items [source 1#customer_faq_5, source 4#return_policy_7].","[""About Products and Quality **What warranty do products carry?** All products sold on Olist are covered by the legal guarantee (garantia legal) mandated by Brazil's Consumer Defense Code: - **30 days** for non-durable goods (consumable items) - **90 days** for durable goods (electronics, appliances, tools, furniture) This guarantee covers manufacturing defects and applies from the date of receipt. It is in addition to any manufacturer's warranty offered separately. Sellers must honor these warranty periods by law. **What if I receive the wrong product or a product not as described?** If you receive a different product from what was listed, or if the product has characteristics that significantly differ from the listing description, you are entitled to a full refund or replacement under the platform's return policy. The seller covers return shipping costs in these cases. Report the issue within 7 calendar days of receipt. **How do I know if a seller is trustworthy?** Each seller on Olist has a public profile showing their average review score, total number of sales, and response rate. Look for sellers with scores above 4.0 and a significant number of completed orders. Reviews from verified buyers are displayed on the product page.""
 'Return Process To initiate a return: 1. Open a dispute through the Olist order management portal within the applicable return window 2. Select the reason for the return (changed mind, defective, wrong item, etc.) 3. Wait for seller approval, which must be granted within 3 business days 4. Once approved, ship the product using the provided return label 5. Keep the tracking code for your records Sellers who fail to respond to return requests within 3 business days will have the return automatically approved by the platform.'
 ""Overview This policy governs all returns, refunds, and exchanges for products purchased through the Olist marketplace. It applies to all customers and sellers operating on the platform. Olist complies fully with Brazil's Consumer Defense Code (Código de Defesa do Consumidor — CDC), which provides consumers with statutory rights that cannot be waived by any seller.""
 'Partial Refunds Partial refunds may be issued in cases where: - Only part of a multi-item order is returned - The returned product shows signs of use beyond inspection (in which case a depreciation fee of up to 20% may apply) - The return is initiated after the standard window but within the extended defect window']","What are the conditions for returning a purchased item: unused, original packaging, within 7 days.",1.0,,
Within how many business days must sellers dispatch orders?,Sellers are required to dispatch orders within 3 business days of order approval and payment confirmation [source 1: shipping_policy.md#shipping_policy_3].,"[""Seller Dispatch Requirements Sellers are required to dispatch orders within **3 business days** of order approval and payment confirmation. This dispatch deadline is strictly enforced by the platform: - Day 0: Order approved and payment confirmed - Day 1-3: Seller must pack and hand off to carrier - Day 3 end-of-day: Final deadline for dispatch If a seller fails to dispatch within 3 business days without prior notification to the customer, the customer has the right to cancel the order for a full refund. Repeated dispatch delays negatively affect the seller's performance score and may result in penalties.""
 'Return Process To initiate a return: 1. Open a dispute through the Olist order management portal within the applicable return window 2. Select the reason for the return (changed mind, defective, wrong item, etc.) 3. Wait for seller approval, which must be granted within 3 business days 4. Once approved, ship the product using the provided return label 5. Keep the tracking code for your records Sellers who fail to respond to return requests within 3 business days will have the return automatically approved by the platform.'
 'Performance Metrics Olist evaluates seller performance using four primary metrics, reviewed on a rolling 90-day basis: **1. Average Review Score (ARS)** The weighted average of all customer review scores received in the past 90 days. Each review is scored from 1 to 5. Scores from the most recent 30 days carry double weight in the calculation. - Target: 4.0 or above - Minimum acceptable: 3.5 - Warning threshold: below 3.5 for 30 consecutive days - Suspension threshold: below 3.0 or below 3.5 for 60 consecutive days **2. On-Time Dispatch Rate (OTDR)** The percentage of orders dispatched within the required 3-business-day window. - Target: 95% or above - Minimum acceptable: 90% - Warning threshold: below 90% in any 30-day window - Suspension threshold: below 80% for two consecutive 30-day windows **3. Order Cancellation Rate (OCR)** The percentage of seller-initiated order cancellations. Customer-initiated cancellations (before dispatch) do not count against this metric. - Target: below 2% - Maximum acceptable: below 5% - Warning threshold: 5% to 10% - Suspension threshold: above 10% in any 30-day window **4. Customer Message Response Time (CMRT)** The average time to first response to customer messages, measured in hours.'
 'is no longer possible, but you may initiate a return after receiving the product. To cancel, go to your order page and select ""Cancel Order."" If the seller has already dispatched the item, the cancel button will be unavailable and you will see the option to request a return instead. **My order shows as delivered but I haven\'t received it. What should I do?** If your order is marked delivered but you have not received it, first check with neighbors or building staff, as carriers sometimes leave packages at nearby locations. If the package cannot be located within 24 hours, contact Olist support through the order page. Do not wait more than 48 hours after the delivery notification, as this may affect your claim eligibility. **How do I track my order?** Once your order is dispatched, you will receive a tracking code by email. You can track your order through the Olist app, the website order portal under ""My Orders,"" or directly on the carrier\'s tracking website. Allow up to 1 business day after dispatch for the tracking information to update in the carrier\'s system.']",Within how many business days must sellers dispatch orders: 3 business days.,,,0.8333333332916666
What happens to sellers with consistently low review scores?,"If a seller's Average Review Score (ARS) falls below the minimum acceptable threshold of 3.5, the following performance review process is triggered:

*   **Day 1:** An automated warning is sent to the seller's email and dashboard [source#seller_guidelines_5].
*   **Day 15:** If there is no improvement, a secondary warning is issued, and the seller must submit a remediation plan [source#seller_guidelines_5].
*   **Day 30:** The Olist Seller Success team conducts an account review [source#seller_guidelines_5].
*   **Day 45:** If the metric remains below the threshold, the seller receives a temporary suspension with a 30-day improvement window [source#seller_guidelines_5].
*   **Day 75:** If no recovery is made, the seller is permanently removed from the platform [source#seller_guidelines_5].

Specifically regarding the ARS metric, a warning threshold is triggered if the score is below 3.5 for 30 consecutive days, and a suspension threshold is reached if the score falls below 3.0, or remains below 3.5 for 60 consecutive days [source#seller_guidelines_4]. During a suspension, sellers cannot receive new orders but must fulfill any orders placed prior to the suspension date [source#seller_guidelines_5].","['Conduct Standards **Product Listings** Sellers must provide accurate and complete product descriptions. The following are strictly prohibited: - Misleading claims about product quality, origin, or specifications - Counterfeit or grey-market goods - Products in prohibited categories (as defined in the Olist Prohibited Items Policy) - Duplicate listings of the same product to artificially inflate search ranking - Keyword stuffing in product titles or descriptions **Customer Interactions** Sellers must maintain professional and respectful communication with customers at all times. The following will result in immediate account review: - Threatening or abusive language in any customer communication - Attempts to conduct transactions outside the platform to avoid fees - Soliciting customers to remove or change negative reviews - Offering discounts or gifts in exchange for positive review scores **Pricing** Sellers may not engage in price manipulation, including: - Artificially inflating prices before promotional periods to exaggerate discounts - Price gouging during high-demand or emergency situations - Coordinating pricing with other sellers in a manner that constitutes anti-competitive behavior'
 ""Performance Review Process Performance is evaluated continuously. When a seller falls below the minimum acceptable threshold for any metric: 1. **Day 1**: Automated warning notification sent to seller's registered email and dashboard 2. **Day 15**: If no improvement, secondary warning with a required remediation plan submission 3. **Day 30**: Account review by Olist's Seller Success team 4. **Day 45**: If metric remains below threshold, temporary suspension with a 30-day improvement window 5. **Day 75**: If no recovery, permanent removal from the platform Sellers in suspension cannot receive new orders but must continue to fulfill all orders placed before the suspension date.""
 'About Reviews **How does the review system work?** After your order is delivered, you will receive an invitation to rate your experience. Reviews consist of a score from 1 to 5 stars and an optional written comment. Reviews are published publicly on the product page and contribute to the seller\'s average performance score. You can submit only one review per order. **Can I edit or delete my review?** Reviews can be edited within 48 hours of submission. After that, they become permanent. Olist does not delete reviews unless they violate community guidelines (e.g., contain personal information, offensive language, or are demonstrably fraudulent). **What should I do if a seller pressures me to change my review?** Any seller who contacts you asking you to modify or remove a negative review in exchange for a refund, discount, or gift is violating Olist\'s seller code of conduct. You should report this behavior through the order page using the ""Report Issue"" button. Olist takes review manipulation seriously and may suspend or remove sellers found engaging in this practice.'
 'Performance Metrics Olist evaluates seller performance using four primary metrics, reviewed on a rolling 90-day basis: **1. Average Review Score (ARS)** The weighted average of all customer review scores received in the past 90 days. Each review is scored from 1 to 5. Scores from the most recent 30 days carry double weight in the calculation. - Target: 4.0 or above - Minimum acceptable: 3.5 - Warning threshold: below 3.5 for 30 consecutive days - Suspension threshold: below 3.0 or below 3.5 for 60 consecutive days **2. On-Time Dispatch Rate (OTDR)** The percentage of orders dispatched within the required 3-business-day window. - Target: 95% or above - Minimum acceptable: 90% - Warning threshold: below 90% in any 30-day window - Suspension threshold: below 80% for two consecutive 30-day windows **3. Order Cancellation Rate (OCR)** The percentage of seller-initiated order cancellations. Customer-initiated cancellations (before dispatch) do not count against this metric. - Target: below 2% - Maximum acceptable: below 5% - Warning threshold: 5% to 10% - Suspension threshold: above 10% in any 30-day window **4. Customer Message Response Time (CMRT)** The average time to first response to customer messages, measured in hours.']",What happens to sellers with consistently low review scores: suspension below 3.0 or below 3.5 for 60 days.,1.0,,0.249999999975
How is a boleto refund processed and how long does it take?,"Boleto payments are refunded via bank transfer (TED/PIX) to a bank account provided by the customer [source#return_policy_6]. The process involves the following timeline:

*   **Submission:** The customer must submit their bank details through the Olist portal within 5 business days of the refund approval [source#return_policy_6].
*   **Transfer:** The transfer is completed within 5 business days after Olist receives the bank details [source#return_policy_6].","[""Refund Methods and Timelines Refunds are processed according to the original payment method used for the purchase: **Credit Card (Cartão de Crédito)** Refunds to credit card are processed within 5 to 10 business days after the returned product is received and inspected by the seller. The charge reversal may appear on the customer's next billing cycle or the cycle after that, depending on the card issuer. In no case will the refund take longer than 2 billing cycles. **Boleto Bancário** Boleto payments are refunded via bank transfer (TED/PIX) to a bank account provided by the customer. The customer must submit their bank details through the Olist portal within 5 business days of the refund approval. The transfer is completed within 5 business days after receipt of bank details. **Debit Card (Cartão de Débito)** Debit card refunds are credited back to the originating card within 5 business days of refund approval. **Vouchers and Promotional Credits** Purchases made with platform vouchers are refunded as new vouchers with the same value and validity. Vouchers used in combination with other payment methods result in proportional refunds to each method.""
 ""About Payments **What payment methods does Olist accept?** Olist accepts the following payment methods: - **Credit Card (Cartão de Crédito)**: Visa, Mastercard, American Express, Elo, Hipercard. Purchases can be split into up to 12 interest-free installments depending on the seller's settings. - **Boleto Bancário**: A bank slip (boleto) is generated at checkout and must be paid within 2 business days. Order processing begins only after payment confirmation, which may take up to 1 business day. - **Debit Card (Cartão de Débito)**: Visa Electron and Maestro debit cards are accepted. Payment is processed in real time. - **PIX**: Instant payment via Brazil's real-time payment system. Orders are confirmed immediately upon PIX payment. - **Vouchers and Promotional Credits**: Platform vouchers issued by Olist can be applied at checkout. Multiple vouchers can be combined, but only one promotional code per order. **What is the maximum number of installments available?** Credit card purchases can be split into up to 12 installments. The installment options available depend on the individual seller's configuration and the total order value. Orders below R$50 typically cannot be split into more than 3 installments.""
 'is no longer possible, but you may initiate a return after receiving the product. To cancel, go to your order page and select ""Cancel Order."" If the seller has already dispatched the item, the cancel button will be unavailable and you will see the option to request a return instead. **My order shows as delivered but I haven\'t received it. What should I do?** If your order is marked delivered but you have not received it, first check with neighbors or building staff, as carriers sometimes leave packages at nearby locations. If the package cannot be located within 24 hours, contact Olist support through the order page. Do not wait more than 48 hours after the delivery notification, as this may affect your claim eligibility. **How do I track my order?** Once your order is dispatched, you will receive a tracking code by email. You can track your order through the Olist app, the website order portal under ""My Orders,"" or directly on the carrier\'s tracking website. Allow up to 1 business day after dispatch for the tracking information to update in the carrier\'s system.'
 'Payouts and Fees Olist charges a commission on each completed sale, which varies by product category (typically between 8% and 16%). Payouts to sellers are released according to the following schedule: - Orders with status ""delivered"" and no active disputes: payment released 14 days after confirmed delivery - Orders where the customer confirms receipt manually: payment released immediately after confirmation - Orders with active return or refund disputes: payment held until resolution Sellers can view their pending and released payments in the Seller Portal dashboard.']",How is a boleto refund processed and how long does it take: bank transfer within 5 business days.,1.0,,0.9999999999
What legal warranty period applies to electronics under Brazilian law?,"Electronics are covered by a 90-day legal guarantee (garantia legal) as mandated by Brazil's Consumer Defense Code [source 1#return_policy_4, source 2#customer_faq_5]. This period applies to durable goods and covers manufacturing defects from the date of receipt [source 2#customer_faq_5].","['Electronics and Technical Products Electronics, appliances, and technical products are covered by a **90-day legal guarantee** (garantia legal) as mandated by Article 26 of the CDC. This guarantee covers manufacturing defects and applies regardless of any additional warranty offered by the seller or manufacturer. If a defect is discovered within the 90-day window, the customer is entitled to: 1. Repair of the product at no cost 2. Replacement with an equivalent product 3. Full refund of the purchase price Sellers are responsible for covering return shipping costs when the defect is confirmed.'
 ""About Products and Quality **What warranty do products carry?** All products sold on Olist are covered by the legal guarantee (garantia legal) mandated by Brazil's Consumer Defense Code: - **30 days** for non-durable goods (consumable items) - **90 days** for durable goods (electronics, appliances, tools, furniture) This guarantee covers manufacturing defects and applies from the date of receipt. It is in addition to any manufacturer's warranty offered separately. Sellers must honor these warranty periods by law. **What if I receive the wrong product or a product not as described?** If you receive a different product from what was listed, or if the product has characteristics that significantly differ from the listing description, you are entitled to a full refund or replacement under the platform's return policy. The seller covers return shipping costs in these cases. Report the issue within 7 calendar days of receipt. **How do I know if a seller is trustworthy?** Each seller on Olist has a public profile showing their average review score, total number of sales, and response rate. Look for sellers with scores above 4.0 and a significant number of completed orders. Reviews from verified buyers are displayed on the product page.""
 'Standard Return Window Customers may return any product within **7 calendar days** of receipt, provided the product is unused, in its original packaging, and accompanied by the original invoice (nota fiscal). This is the standard cooling-off period (direito de arrependimento) guaranteed by Article 49 of the CDC for purchases made outside a physical establishment. For products that arrive damaged, defective, or not as described in the listing, the return window is extended to **30 calendar days** from the date of receipt. Customers must report the issue within this period to be eligible for a full refund or replacement.'
 ""Overview This policy governs all returns, refunds, and exchanges for products purchased through the Olist marketplace. It applies to all customers and sellers operating on the platform. Olist complies fully with Brazil's Consumer Defense Code (Código de Defesa do Consumidor — CDC), which provides consumers with statutory rights that cannot be waived by any seller.""]",What legal warranty period applies to electronics under Brazilian law: 90 days.,,,0.99999999995
